CODIBGE_domicílio do devedor;COMARCA_ABR - DOMICILIO DO DEVEDOR;CODIBGE_ABR_Praça de Protesto;PRAÇA DE PROTESTO;ABR_UF;;
2708303;SAO JOSE DA LAJE;2708303;SAO JOSE DA LAJE;AL;;
2708402;SAO JOSE DA TAPERA;2708402;SAO JOSE DA TAPERA;AL;;
2708501;SAO LUIZ DO QUITUNDE;2708501;SAO LUIZ DO QUITUNDE;AL;;
2708600;SAO MIGUEL DOS CAMPOS;2708600;SAO MIGUEL DOS CAMPOS;AL;;
2707404;SAO MIGUEL DOS MILAGRES;2708709;PORTO DE PEDRAS;AL;;
2708808;SAO SEBASTIAO;2708808;SAO SEBASTIAO;AL;;
2708907;SATUBA;2708907;SATUBA;AL;;
2708907;STA LUZIA DO NORTE;2707909;SATUBA;AL;;
2709103;TAQUARANA;2709103;TAQUARANA;AL;;
2704005;TEOTONIO VILELA;2709152;JUNQUEIRO ;AL;;
2709400;VICOSA;2709400;VICOSA;AL;;
1300029;ALVARAES;1300029;ALVARAES;AM;;
1300060;AMATURA;1300060;AMATURA;AM;;
1300086;ANAMA;1300086;ANAMA;AM;;
1300102;ANORI;1300102;ANORI;AM;;
1300144;APUI;1300144;APUI;AM;;
1300201;ATALAIA DO NORTE;1300201;ATALAIA DO NORTE;AM;;
1300300;AUTAZES;1300300;AUTAZES;AM;;
1300409;BARCELOS;1300409;BARCELOS;AM;;
1300508;BARREIRINHA;1300508;BARREIRINHA;AM;;
1300607;BENJAMIN CONSTANT;1300607;BENJAMIN CONSTANT;AM;;
1300631;BERURI;1300631;BERURI;AM;;
1300680;BOA VISTA DO RAMOS;1300680;BOA VISTA DO RAMOS;AM;;
1300706;BOCA DO ACRE;1300706;BOCA DO ACRE;AM;;
1300805;BORBA;1300805;BORBA;AM;;
1300839;CAAPIRANGA;1300839;CAAPIRANGA;AM;;
1300904;CANUTAMA;1300904;CANUTAMA;AM;;
1301001;CARAUARI;1301001;CARAUARI;AM;;
1301100;CAREIRO;1301100;CAREIRO;AM;;
1301159;CAREIRO DA VARZEA;1301159;CAREIRO DA VARZEA;AM;;
1301209;COARI;1301209;COARI;AM;;
1301308;CODAJAS;1301308;CODAJAS;AM;;
1301407;EIRUNEPE;1301407;EIRUNEPE;AM;;
1301506;ENVIRA;1301506;ENVIRA;AM;;
1301605;FONTE BOA;1301605;FONTE BOA;AM;;
1301654;GUAJARA;1301654;GUAJARA;AM;;
1301704;HUMAITA;1301704;HUMAITA;AM;;
1301803;IPIXUNA;1301803;IPIXUNA;AM;;
1301852;IRANDUBA;1301852;IRANDUBA;AM;;
1301902;ITACOATIARA;1301902;ITACOATIARA;AM;;
1301951;ITAMARATI;1301951;ITAMARATI;AM;;
1302009;ITAPIRANGA;1302009;ITAPIRANGA;AM;;
1302108;JAPURA;1302108;JAPURA;AM;;
1302207;JURUA;1302207;JURUA;AM;;
1302306;JUTAI;1302306;JUTAI;AM;;
1302405;LABREA;1302405;LABREA;AM;;
1302504;MANACAPURU;1302504;MANACAPURU;AM;;
1302553;MANAQUIRI;1302553;MANAQUIRI;AM;;
1302603;MANAUS;1302603;MANAUS;AM;;
1302702;MANICORE;1302702;MANICORE;AM;;
1302801;MARAA;1302801;MARAA;AM;;
1302900;MAUES;1302900;MAUES;AM;;
1303007;NHAMUNDA;1303007;NHAMUNDA;AM;;
1303106;NOVA OLINDA DO NORTE;1303106;NOVA OLINDA DO NORTE;AM;;
1303205;NOVO AIRAO;1303205;NOVO AIRAO;AM;;
1303304;NOVO ARIPUANA;1303304;NOVO ARIPUANA;AM;;
1303403;PARINTINS;1303403;PARINTINS;AM;;
1303502;PAUINI;1303502;PAUINI;AM;;
1303536;PRESIDENTE FIGUEIREDO;1303536;PRESIDENTE FIGUEIREDO;AM;;
1303569;RIO PRETO DA EVA;1303569;RIO PRETO DA EVA;AM;;
1303601;SANTA ISABEL DO RIO NEGRO;1303601;SANTA ISABEL DO RIO NEGRO;AM;;
1303700;SANTO ANTONIO DO ICA;1303700;SANTO ANTONIO DO ICA;AM;;
1303809;SAO GABRIEL DA CACHOEIRA;1303809;SAO GABRIEL DA CACHOEIRA;AM;;
1303908;SAO PAULO DE OLIVENCA;1303908;SAO PAULO DE OLIVENCA;AM;;
1303957;SAO SEBASTIAO DO UATUMA;1303957;SAO SEBASTIAO DO UATUMA;AM;;
1304005;SILVES;1304005;SILVES;AM;;
1304062;TABATINGA;1304062;TABATINGA;AM;;
1304104;TAPAUA;1304104;TAPAUA;AM;;
1304203;TEFE;1304203;TEFE;AM;;
1303700;TONANTINS;1304237;SANTO ANTONIO DO ICA;AM;;
1304260;UARINI;1304260;UARINI;AM;;
1304302;URUCARA;1304302;URUCARA;AM;;
1304401;URUCURITUBA;1304401;URUCURITUBA;AM;;
1600105;AMAPA;1600105;AMAPA;AP;;
1600204;CALCOENE;1600204;CALCOENE;AP;;
1600238;CUTIAS;1600212;FERREIRA GOMES;AP;;
1600238;FERREIRA GOMES;1600238;FERREIRA GOMES;AP;;
1600303;ITAUBAL;1600253;MACAPA;AP;;
1600279;LARANJAL DO JARI;1600279;LARANJAL DO JARI;AP;;
1600303;MACAPA;1600303;MACAPA;AP;;
1600402;MAZAGAO;1600402;MAZAGAO;AP;;
1600501;OIAPOQUE;1600501;OIAPOQUE;AP;;
1600154;PEDRA BRANCA DO AMAPARI;1600154;PEDRA BRANCA DO AMAPARI;AP;;
1600535;PORTO GRANDE;1600535;PORTO GRANDE;AP;;
1600550;PRACUUBA;1600550;PRACUUBA;AP;;
1600600;SANTANA;1600600;SANTANA;AP;;
1600055;SERRA DO NAVIO;1600055;SERRA DO NAVIO;AP;;
1600709;TARTARUGALZINHO;1600709;TARTARUGALZINHO;AP;;
1600808;VITORIA DO JARI;1600808;VITORIA DO JARI;AP;;
2900207;ABARE;2900207;ABARE;BA;;
2900306;ACAJUTIBA;2900306;ACAJUTIBA;BA;;
2923803;ADUSTINA;2900355;MUNDO NOVO BA;BA;;
2914505;AGUA FRIA;2900405;IRARA;BA;;
2915205;AIQUARA;2900603;ITAGIBA;BA;;
2900702;ALAGOINHAS;2900702;ALAGOINHAS;BA;;
2900801;ALCOBACA;2900801;ALCOBACA;BA;;
2908002;ALMADINA;2900900;COARACI;BA;;
2901007;AMARGOSA;2901007;AMARGOSA;BA;;
2901106;AMELIA RODRIGUES;2901106;AMELIA RODRIGUES;BA;;
2901155;AMERICA DOURADA;2901155;AMERICA DOURADA;BA;;
2901205;ANAGE;2901205;ANAGE;BA;;
2901304;ANDARAI;2901304;ANDARAI;BA;;
2930105;ANDORINHA;2901353;SENHOR DO BONFIM;BA;;
2901403;ANGICAL;2901403;ANGICAL;BA;;
2930402;ANGUERA;2901502;SERRA PRETA;BA;;
2901601;ANTAS;2901601;ANTAS;BA;;
2928802;ANTONIO CARDOSO;2901700;SANTO ESTEVAO;BA;;
2906006;ANTONIO GONCALVES;2901809;CAMPO FORMOSO;BA;;
2901908;APORA;2901908;APORA;BA;;
2917607;APUAREMA;2901957;JAGUAQUARA;BA;;
2900702;ARACAS;2902054;ALAGOINHAS;BA;;
2904605;ARACATU;2902005;BRUMADO;BA;;
2902104;ARACI;2902104;ARACI;BA;;
2900702;ARAMARI;2902203;ALAGOINHAS;BA;;
2905602;ARATACA;2902252;CAMACAN;BA;;
2922508;ARATUIPE;2902302;NAZARE;BA;;
2902500;BAIANOPOLIS;2902500;BAIANOPOLIS;BA;;
2902609;BAIXA GRANDE;2902609;BAIXA GRANDE;BA;;
2926608;BANZAE;2902658;RIBEIRA DO POMBAL;BA;;
2902708;BARRA;2902708;BARRA;BA;;
2902807;BARRA DA ESTIVA;2902807;BARRA DA ESTIVA;BA;;
2902906;BARRA DO CHOCA;2902906;BARRA DO CHOCA;BA;;
2903003;BARRA DO MENDES;2903003;BARRA DO MENDES;BA;;
2913903;BARRA DO ROCHA;2903102;IPIAU;BA;;
2903201;BARREIRAS;2903201;BARREIRAS;BA;;
2906204;BARRO ALTO;2903235;CANARANA;BA;;
2930501;BARROCAS;2903276;SERRINHA;BA;;
2903409;BELMONTE;2903409;BELMONTE;BA;;
2930501;BIRITINGA;2903607;SERRINHA;BA;;
2903904;BOM JESUS DA LAPA;2903904;BOM JESUS DA LAPA;BA;;
2925105;BOM JESUS DA SERRA;2903953;POCOES;BA;;
2924306;BONINAL;2904001;PIATA;BA;;
2924504;BONITO;2904050;PINDAI;BA;;
2904100;BOQUIRA;2904100;BOQUIRA;BA;;
2904209;BOTUPORA;2904209;BOTUPORA;BA;;
2904308;BREJOES;2904308;BREJOES;BA;;
2930303;BREJOLANDIA;2904407;SERRA DOURADA;BA;;
2904506;BROTAS DE MACAUBAS;2904506;BROTAS DE MACAUBAS;BA;;
2904605;BRUMADO;2904605;BRUMADO;BA;;
2904704;BUERAREMA;2904704;BUERAREMA;BA;;
2902708;BURITIRAMA;2904753;BARRA;BA;;
2902906;CAATIBA;2904803;BARRA DO CHOCA;BA;;
2904902;CACHOEIRA;2904902;CACHOEIRA;BA;;
2905008;CACULE;2905008;CACULE;BA;;
2917508;CAEM;2905107;JACOBINA;BA;;
2925105;CAETANOS;2905156;POCOES;BA;;
2905206;CAETITE;2905206;CAETITE;BA;;
2921708;CAFARNAUM;2905305;MORRO DO CHAPEU;BA;;
2932903;CAIRU;2905404;VALENCA;BA;;
2905602;CAMACAN;2905602;CAMACAN;BA;;
2905701;CAMACARI;2905701;CAMACARI;BA;;
2905800;CAMAMU;2905800;CAMAMU;BA;;
2906006;CAMPO FORMOSO;2906006;CAMPO FORMOSO;BA;;
2928208;CANAPOLIS;2906105;SANTANA;BA;;
2906204;CANARANA;2906204;CANARANA;BA;;
2906303;CANAVIEIRAS;2906303;CANAVIEIRAS;BA;;
2926301;CANDEAL;2906402;RIACHAO DO JACUIPE;BA;;
2906501;CANDEIAS;2906501;CANDEIAS;BA;;
2911709;CANDIBA;2906600;GUANAMBI;BA;;
2906709;CANDIDO SALES;2906709;CANDIDO SALES;BA;;
2906808;CANSANCAO;2906808;CANSANCAO;BA;;
2906824;CANUDOS;2906824;CANUDOS;BA;;
2906857;CAPELA DO ALTO ALEGRE;2906857;CAPELA DO ALTO ALEGRE;BA;;
2906873;CAPIM GROSSO;2906873;CAPIM GROSSO;BA;;
2901205;CARAIBAS;2906899;ANAGE;BA;;
2906907;CARAVELAS;2906907;CARAVELAS;BA;;
2910503;CARDEAL DA SILVA;2907004;ENTRE RIOS;BA;;
2907103;CARINHANHA;2907103;CARINHANHA;BA;;
2907202;CASA NOVA;2907202;CASA NOVA;BA;;
2907301;CASTRO ALVES;2907301;CASTRO ALVES;BA;;
2928901;CATOLANDIA;2907400;SAO DESIDERIO;BA;;
2907509;CATU;2907509;CATU;BA;;
2923605;CATURAMA;2907558;PARAMIRIM;BA;;
2907608;CENTRAL;2907608;CENTRAL;BA;;
2907806;CICERO DANTAS;2907806;CICERO DANTAS;BA;;
2907905;CIPO;2907905;CIPO;BA;;
2908002;COARACI;2908002;COARACI;BA;;
2908101;COCOS;2908101;COCOS;BA;;
2908200;CONCEICAO DA FEIRA;2908200;CONCEICAO DA FEIRA;BA;;
2908309;CONCEICAO DO ALMEIDA;2908309;CONCEICAO DO ALMEIDA;BA;;
2908408;CONCEICAO DO COITE;2908408;CONCEICAO DO COITE;BA;;
2908507;CONCEICAO DO JACUIPE;2908507;CONCEICAO DO JACUIPE;BA;;
2908606;CONDE;2908606;CONDE;BA;;
2908705;CONDEUBA;2908705;CONDEUBA;BA;;
2908903;CORACAO DE MARIA;2908903;CORACAO DE MARIA;BA;;
2908705;CORDEIROS;2909000;CONDEUBA;BA;;
2909109;CORIBE;2909109;CORIBE;BA;;
2918100;CORONEL JOAO SA;2909208;JEREMOABO;BA;;
2909307;CORRENTINA;2909307;CORRENTINA;BA;;
2909406;COTEGIPE;2909406;COTEGIPE;BA;;
2926004;CP ALEGRE DE LOURDES;2905909;REMANSO;BA;;
2927903;CRAVOLANDIA;2909505;SANTA INES;BA;;
2923100;CRISOPOLIS;2909604;OLINDINA;BA;;
2909703;CRISTOPOLIS;2909703;CRISTOPOLIS;BA;;
2909802;CRUZ DAS ALMAS;2909802;CRUZ DAS ALMAS;BA;;
2909901;CURACA;2909901;CURACA;BA;;
2915205;DARIO MEIRA;2910008;ITAGIBA;BA;;
2910057;DIAS D'AVILA;2910057;DIAS D'AVILA;BA;;
2919504;DOM BASILIO;2910107;LIVRAMENTO DE NOSSA SENHORA;BA;;
2928703;DOM MACEDO COSTA;2910206;SANTO ANTONIO DE JESUS;BA;;
2928505;ELISIO MEDRADO;2910305;SANTA TEREZINHA;BA;;
2910404;ENCRUZILHADA;2910404;ENCRUZILHADA;BA;;
2910503;ENTRE RIOS;2910503;ENTRE RIOS;BA;;
2923605;ERICO CARDOSO;2900504;PARAMIRIM;BA;;
2910602;ESPLANADA;2910602;ESPLANADA;BA;;
2910701;EUCLIDES DA CUNHA;2910701;EUCLIDES DA CUNHA;BA;;
2910727;EUNAPOLIS;2910727;EUNAPOLIS;BA;;
2907806;FATIMA;2910750;CICERO DANTAS;BA;;
2907103;FEIRA DA MATA;2910776;CARINHANHA;BA;;
2910800;FEIRA DE SANTANA;2910800;FEIRA DE SANTANA;BA;;
2924603;FILADELFIA;2910859;PINDOBACU;BA;;
2917102;FIRMINO ALVES;2910909;ITORORO;BA;;
2912103;FLORESTA AZUL;2911006;IBICARAI;BA;;
2911105;FORMOSA DO RIO PRETO;2911105;FORMOSA DO RIO PRETO;BA;;
2911204;GANDU;2911204;GANDU;BA;;
2911253;GAVIAO;2911253;GAVIAO;BA;;
2911303;GENTIO DO OURO;2911303;GENTIO DO OURO;BA;;
2924009;GLORIA;2911402;PAULO AFONSO;BA;;
2932200;GONGOGI;2911501;UBAITABA;BA;;
2911600;GOVERNADOR MANGABEIRA;2911600;GOVERNADOR MANGABEIRA;BA;;
2905008;GUAJERU;2911659;CACULE;BA;;
2911709;GUANAMBI;2911709;GUANAMBI;BA;;
2911808;GUARATINGA;2911808;GUARATINGA;BA;;
2907806;HELIOPOLIS;2911857;CICERO DANTAS;BA;;
2911907;IACU;2911907;IACU;BA;;
2905008;IBIASSUCE;2912004;CACULE;BA;;
2912103;IBICARAI;2912103;IBICARAI;BA;;
2902807;IBICOARA;2912202;BARRA DA ESTIVA;BA;;
2903003;IBIPEBA;2912400;BARRA DO MENDES;BA;;
2919801;IBIPITANGA;2912509;MACAUBAS;BA;;
2912608;IBIQUERA;2912608;IBIQUERA;BA;;
2912707;IBIRAPITANGA;2912707;IBIRAPITANGA;BA;;
2912806;IBIRAPUA;2912806;IBIRAPUA;BA;;
2912905;IBIRATAIA;2912905;IBIRATAIA;BA;;
2913002;IBITIARA;2913002;IBITIARA;BA;;
2913200;IBOTIRAMA;2913200;IBOTIRAMA;BA;;
2913408;IGAPORA;2913408;IGAPORA;BA;;
2905800;IGRAPIUNA;2913457;CAMAMU;BA;;
2913507;IGUAI;2913507;IGUAI;BA;;
2913606;ILHEUS;2913606;ILHEUS;BA;;
2913705;INHAMBUPE;2913705;INHAMBUPE;BA;;
2928802;IPECAETA;2913804;SANTO ESTEVAO;BA;;
2913903;IPIAU;2913903;IPIAU;BA;;
2914000;IPIRA;2914000;IPIRA;BA;;
2904506;IPUPIARA;2914109;BROTAS DE MACAUBAS;BA;;
2927903;IRAJUBA;2914208;SANTA INES;BA;;
2914307;IRAMAIA;2914307;IRAMAIA;BA;;
2914505;IRARA;2914505;IRARA;BA;;
2914604;IRECE;2914604;IRECE;BA;;
2914653;ITABELA;2914653;ITABELA;BA;;
2914703;ITABERABA;2914703;ITABERABA;BA;;
2914802;ITABUNA;2914802;ITABUNA;BA;;
2914901;ITACARE;2914901;ITACARE;BA;;
2915106;ITAGI;2915106;ITAGI;BA;;
2915205;ITAGIBA;2915205;ITAGIBA;BA;;
2915304;ITAGIMIRIM;2915304;ITAGIMIRIM;BA;;
2933604;ITAGUACU DA BAHIA;2915353;XIQUE-XIQUE;BA;;
2917102;ITAJU DO COLONIA;2915403;ITORORO;BA;;
2915502;ITAJUIPE;2915502;ITAJUIPE;BA;;
2915601;ITAMARAJU;2915601;ITAMARAJU;BA;;
2915809;ITAMBE BA;2915809;ITAMBE BA;BA;;
2921005;ITANAGRA;2915908;MATA DE SAO JOAO;BA;;
2916005;ITANHEM;2916005;ITANHEM;BA;;
2916104;ITAPARICA;2916104;ITAPARICA;BA;;
2914802;ITAPE;2916203;ITABUNA;BA;;
2916302;ITAPEBI;2916302;ITAPEBI;BA;;
2916401;ITAPETINGA;2916401;ITAPETINGA;BA;;
2916500;ITAPICURU;2916500;ITAPICURU;BA;;
2916609;ITAPITANGA;2916609;ITAPITANGA;BA;;
2916708;ITAQUARA;2916708;ITAQUARA;BA;;
2928505;ITATIM;2916856;SANTA TEREZINHA;BA;;
2916906;ITIRUCU;2916906;ITIRUCU;BA;;
2917003;ITIUBA;2917003;ITIUBA;BA;;
2917102;ITORORO;2917102;ITORORO;BA;;
2917300;ITUBERA;2917300;ITUBERA;BA;;
2920205;IUIU;2917334;MALHADA;BA;;
2909109;JABORANDI;2917359;CORIBE;BA;;
2917409;JACARACI;2917409;JACARACI;BA;;
2917508;JACOBINA;2917508;JACOBINA;BA;;
2917607;JAGUAQUARA;2917607;JAGUAQUARA;BA;;
2917706;JAGUARARI;2917706;JAGUARARI;BA;;
2917805;JAGUARIPE;2917805;JAGUARIPE;BA;;
2927002;JANDAIRA;2917904;RIO REAL;BA;;
2918001;JEQUIE;2918001;JEQUIE;BA;;
2918100;JEREMOABO;2918100;JEREMOABO;BA;;
2918209;JIQUIRICA;2918209;JIQUIRICA;BA;;
2918308;JITAUNA;2918308;JITAUNA;BA;;
2918357;JOAO DOURADO;2918357;JOAO DOURADO;BA;;
2918407;JUAZEIRO;2918407;JUAZEIRO;BA;;
2915601;JUCURUCU;2918456;ITAMARAJU;BA;;
2918506;JUSSARA;2918506;JUSSARA;BA;;
2914802;JUSSARI;2918555;ITABUNA;BA;;
2926707;JUSSIAPE;2918605;RIO DE CONTAS;BA;;
2916906;LAFAIETE COUTINHO;2918704;ITIRUCU;BA;;
2905206;LAGOA REAL;2918753;CAETITE;BA;;
2918803;LAJE;2918803;LAJE;BA;;
2912806;LAJEDAO;2918902;IBIRAPUA;BA;;
2927200;LAJEDINHO;2919009;RUY BARBOSA;BA;;
2916906;LAJEDO DO TABOCAL;2919058;ITIRUCU;BA;;
2927507;LAMARAO;2919108;SANTA BARBARA;BA;;
2919207;LAURO DE FREITAS;2919207;LAURO DE FREITAS;BA;;
2919306;LENCOIS;2919306;LENCOIS;BA;;
2919405;LICINIO DE ALMEIDA;2919405;LICINIO DE ALMEIDA;BA;;
2919504;LIVRAMENTO DE NOSSA SENHORA;2919504;LIVRAMENTO DE NOSSA SENHORA;BA;;
2919553;LUIS EDUARDO MAGALHAES;2919553;LUIS EDUARDO MAGALHAES;BA;;
2927200;MACAJUBA;2919603;RUY BARBOSA;BA;;
2919702;MACARANI;2919702;MACARANI;BA;;
2919801;MACAUBAS;2919801;MACAUBAS;BA;;
2919900;MACURURE;2919900;MACURURE;BA;;
2919926;MADRE DE DEUS;2919926;MADRE DE DEUS;BA;;
2919702;MAIQUINIQUE;2920007;MACARANI;BA;;
2920106;MAIRI;2920106;MAIRI;BA;;
2920205;MALHADA;2920205;MALHADA;BA;;
2904605;MALHADA DE PEDRAS;2920304;BRUMADO;BA;;
2918001;MANOEL VITORINO;2920403;JEQUIE;BA;;
2928406;MANSIDAO;2920452;SANTA RITA DE CASSIA;BA;;
2920502;MARACAS;2920502;MARACAS;BA;;
2905602;MASCOTE;2920908;CAMACAN;BA;;
2921005;MATA DE SAO JOAO;2921005;MATA DE SAO JOAO;BA;;
2921104;MEDEIROS NETO;2921104;MEDEIROS NETO;BA;;
2921203;MIGUEL CALMON;2921203;MIGUEL CALMON;BA;;
2921302;MILAGRES;2921302;MILAGRES;BA;;
2917508;MIRANGABA;2921401;JACOBINA;BA;;
2921500;MONTE SANTO;2921500;MONTE SANTO;BA;;
2921609;MORPARA;2921609;MORPARA;BA;;
2921708;MORRO DO CHAPEU;2921708;MORRO DO CHAPEU;BA;;
2917409;MORTUGABA;2921807;JACARACI;BA;;
2921906;MUCUGE;2921906;MUCUGE;BA;;
2922003;MUCURI;2922003;MUCURI;BA;;
2921708;MULUNGU DO MORRO;2922052;MORRO DO CHAPEU;BA;;
2922102;MUNDO NOVO;2922102;MUNDO NOVO;BA;;
2922508;MUNIZ FERREIRA;2922201;NAZARE;BA;;
2922409;MUTUIPE;2922409;MUTUIPE;BA;;
2922508;NAZARE;2922508;NAZARE;BA;;
2922656;NORDESTINA;2922656;NORDESTINA;BA;;
2922706;NOVA CANAA;2922706;NOVA CANAA;BA;;
2922730;NOVA FATIMA;2922730;NOVA FATIMA;BA;;
2911204;NOVA IBIA;2922755;GANDU;BA;;
2904308;NOVA ITARANA;2922805;BREJOES;BA;;
2901304;NOVA REDENCAO;2922854;ANDARAI;BA;;
2922904;NOVA SOURE;2922904;NOVA SOURE;BA;;
2923001;NOVA VICOSA;2923001;NOVA VICOSA;BA;;
2913002;NOVO HORIZONTE;2923035;IBITIARA;BA;;
2901601;NOVO TRIUNFO;2923050;ANTAS;BA;;
2923100;OLINDINA;2923100;OLINDINA;BA;;
2923209;OLIVEIRA DO BREJINHO;2923209;OLIVEIRA DO BREJINHO;BA;;
2914505;OURICANGAS;2923308;IRARA;BA;;
